,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov,3-Nov,4-Nov,5-Nov,6-Nov,7-Nov,8-Nov,9-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,10-Dec,11-Dec,12-Dec,13-Dec,14-Dec,15-Dec,16-Dec,17-Dec
0,0,576,407,282,481,481,455,822,455,658,616,447,447,644,639,864,359,619,458,498,253,1125,769,482,692,1496,843,309,198,618,743,906,1591,353,422,860,627,378,1234,691,476,369,321,395,361,672,1462,1128,2145,1755,956,1413,2737,781,2072,1204,2675,1363,1479,444,867,327,793,362,649,1051,596,537,415,312,796,680,896
1,0,720,312,367,221,221,183,160,170,514,356,184,184,315,615,407,300,526,617,574,191,197,242,606,990,424,230,404,266,441,258,443,353,187,184,414,128,280,954,398,290,378,188,278,742,635,863,427,1782,1011,691,342,772,945,553,904,483,1905,468,332,417,227,413,164,377,650,356,533,519,283,328,258,355
2,0,632,685,308,413,413,624,576,735,1191,1249,1078,1078,569,478,359,554,968,1162,626,420,608,630,635,1273,780,558,264,665,481,565,790,1375,343,552,560,462,424,490,259,433,768,462,432,542,1389,1671,1060,937,457,1143,857,398,432,618,704,319,389,545,615,691,281,371,359,231,72,304,557,251,293,155,349,219
3,506,983,102,93,496,496,572,118,778,619,285,682,682,1085,1157,758,703,771,575,813,443,956,805,703,609,1388,820,829,860,761,482,892,617,813,820,266,671,482,705,801,499,646,627,750,638,663,981,1978,830,1555,1838,1372,814,1078,1151,1237,1451,1666,1246,622,684,692,588,568,417,726,1293,546,598,533,525,832,450
4,765,734,197,214,930,930,801,346,1041,462,601,1055,1055,905,1008,791,862,286,799,1266,661,936,1086,1066,748,1284,978,1023,1030,1205,1339,737,444,1082,425,733,952,900,371,1120,1156,800,882,1238,1000,629,1310,1680,1661,1385,1606,1871,1251,1008,1479,1594,1594,1812,1666,485,316,830,873,992,956,734,694,710,708,834,666,714,729
5,1402,774,309,262,828,828,890,554,1141,758,494,854,854,879,1174,543,947,1184,989,945,781,1030,1120,1189,813,470,874,1088,827,894,1055,813,659,1028,1164,1064,1294,921,591,566,1267,979,940,1040,1060,1050,662,2434,2505,1404,2043,2362,856,1652,1261,1469,1603,2037,1941,898,869,870,897,843,878,868,638,649,913,790,638,1304,981
6,999,483,302,207,815,815,818,495,503,345,803,1223,1223,876,954,594,1195,521,1315,1037,721,319,528,931,733,615,883,943,949,986,1014,977,628,1259,1231,1017,893,641,675,704,1089,982,744,801,1071,717,913,2203,1766,1556,1766,1635,838,1224,1256,1869,675,1633,1581,308,580,839,1118,1087,834,897,327,638,781,742,705,687,633
7,861,713,395,243,895,895,706,501,966,480,979,755,755,920,897,525,915,527,862,917,579,250,821,1020,812,1038,726,1366,1043,1133,648,758,698,1254,1172,826,1074,932,618,745,838,1032,693,885,866,603,1093,1599,1732,1679,2033,1967,1844,1096,1282,1558,1985,1572,1453,561,695,831,861,1088,843,831,579,446,1099,827,726,1056,570
8,1369,586,458,268,576,576,716,692,844,426,631,968,968,968,697,620,903,834,991,953,496,460,607,1002,425,564,713,627,936,659,672,313,669,601,528,903,914,686,438,589,697,863,898,895,964,884,1068,1798,1985,2240,1649,1210,865,1422,1521,1369,1675,1780,1190,434,969,777,744,589,609,771,546,699,576,818,686,665,820
9,733,452,208,340,944,944,527,707,582,702,807,954,954,717,847,517,881,635,584,674,381,426,675,917,721,764,713,875,750,1216,878,768,903,893,701,425,607,509,776,655,548,743,708,900,203,606,1071,1784,1441,1597,1158,1458,1090,897,1327,1671,1660,1185,755,378,370,581,935,624,782,871,384,910,872,845,708,1255,717
10,912,655,185,230,474,474,873,719,862,719,844,947,947,665,745,676,752,645,595,830,627,474,784,739,732,790,744,641,718,771,962,425,587,882,1106,708,933,672,937,833,760,802,688,1137,587,919,1251,2063,2609,1386,1880,2191,1124,1502,966,1332,1740,1568,1124,765,910,703,766,695,566,765,496,670,526,790,709,1161,918
11,903,270,353,241,259,259,875,614,1020,666,600,884,884,1222,890,767,573,685,1046,1066,660,520,606,950,902,782,1159,872,655,1140,994,864,1006,1034,1056,566,1227,997,858,978,1011,935,745,1203,612,851,1664,1454,1921,2041,1403,1888,853,1311,1648,1078,1200,1894,1470,686,741,683,909,835,935,721,759,597,509,788,662,878,794
12,993,244,341,231,222,222,967,680,826,721,1029,470,470,775,813,605,686,787,673,492,496,832,594,558,774,566,664,855,672,840,932,641,345,824,805,650,829,860,769,839,625,533,480,690,874,634,1331,1358,2042,1503,1942,1462,972,1344,1021,1051,1446,1410,500,429,911,641,876,717,598,711,738,604,577,850,790,605,673
13,1032,474,437,251,200,200,784,729,527,1055,941,788,788,942,1173,692,525,825,1225,847,795,643,581,946,867,788,936,1039,703,834,901,743,854,830,940,875,875,807,1037,780,336,446,537,665,1105,911,1906,1567,1632,1943,1711,467,1016,2080,1660,1101,1291,2281,744,820,1003,799,923,898,532,825,992,873,695,879,626,1098,739
14,1022,141,468,379,230,230,739,794,1150,927,1012,742,742,831,895,523,507,933,1299,887,669,517,636,828,854,737,859,837,795,862,1071,837,905,558,980,916,780,633,998,1035,870,850,656,974,836,762,1564,1494,1879,1514,1945,867,1108,1869,972,1322,1799,1301,896,843,560,655,692,694,667,918,842,556,607,890,695,815,839
15,916,251,420,378,376,376,847,842,966,761,1064,854,854,744,783,608,717,885,1216,916,703,704,585,867,1014,788,1393,1018,1042,843,970,1056,808,775,909,883,693,927,736,1042,772,1056,1022,1071,1010,571,1878,1468,1616,1784,2445,1250,1309,1639,1786,1773,1787,1430,790,712,995,735,654,667,864,1094,750,559,957,967,677,1093,475
16,869,331,236,375,594,594,747,825,828,740,883,803,803,980,780,721,684,1148,817,723,778,1078,750,696,761,907,559,949,772,831,921,851,1121,962,997,847,859,958,916,895,871,634,641,828,888,810,2127,1367,1779,1615,2024,1936,1433,1891,1844,1631,1369,1124,895,729,1039,900,868,913,815,615,945,779,795,866,794,960,643
17,1112,528,370,765,454,454,748,777,887,886,1140,851,851,1025,979,976,924,956,845,1133,771,924,704,1235,862,765,867,1082,1046,959,1005,1317,978,1206,850,869,1009,856,1169,673,689,999,904,938,1016,773,1822,1909,1326,2123,1718,1605,1866,1487,1793,1668,847,1510,907,1167,1084,962,1140,928,775,1031,920,940,1030,1083,688,1091,1004
18,825,694,517,689,499,499,669,1082,701,961,1359,1277,1277,1115,406,993,815,1281,956,1055,742,959,1005,926,1046,666,797,863,957,1001,1045,617,1031,988,1091,946,644,896,1043,988,1043,861,971,1049,952,690,1830,1706,1651,1949,1679,1645,1630,1520,1563,2219,1570,1836,1111,1118,716,950,1035,1090,632,1142,1035,958,1112,1074,757,1035,837
19,899,522,186,742,717,717,508,1146,665,702,909,1105,1105,757,485,1157,736,1081,863,782,944,895,530,966,1044,626,798,890,968,775,933,917,1008,897,875,957,862,1099,1172,1067,851,929,923,913,1316,1763,2694,2087,1763,1926,2160,1226,1589,1885,1328,1125,1380,1574,1001,1039,1194,879,814,819,994,1021,963,678,693,1020,1088,712,959
20,558,532,204,729,570,570,1126,707,941,1020,827,1229,1229,1112,539,837,871,944,754,469,1039,812,460,775,898,970,811,989,1036,1357,1119,1096,975,945,931,432,1083,1245,894,609,1087,171,997,869,1166,1794,1550,2082,1235,1670,2019,1573,1363,1540,1210,1788,1419,1153,1071,1215,519,921,824,894,722,1274,837,582,1162,1070,1068,750,1099
21,752,338,319,742,608,608,474,617,587,1124,742,873,873,750,628,1169,596,1147,688,239,855,1056,570,1184,685,833,850,991,1177,1060,1064,716,926,895,690,584,848,792,1005,575,906,826,814,637,1073,1995,971,1368,1382,2037,2660,2048,1408,2275,1991,1523,1498,2176,877,833,299,881,896,1743,686,878,836,737,858,914,581,916,1295
22,1102,855,376,957,503,503,746,1292,669,965,1267,1456,1456,2222,412,299,932,1421,943,308,956,636,673,852,817,581,1842,790,1283,1448,956,728,2116,1408,1334,889,1135,603,762,985,918,1109,1112,434,1320,1158,1076,1954,1642,1943,1654,1771,794,1419,916,1911,1660,2693,924,700,712,618,1659,927,844,1877,771,613,922,1121,333,1442,500
23,1152,625,327,431,927,927,535,1103,586,1051,666,1289,1289,935,909,2649,937,758,1491,310,1175,616,849,842,904,895,434,1202,914,903,1314,929,1189,416,1286,846,1164,790,1045,1086,605,1020,1124,431,1371,1283,858,2087,468,2410,1848,2337,621,701,1537,2244,1271,2537,704,524,323,1445,463,569,1270,1493,900,936,776,1373,683,514,243