id,name,perc_no_hc,perc_hc
25001,"Barnstable County, Massachusetts",0.05,0.95
25003,"Berkshire County, Massachusetts",0.03,0.97
25005,"Bristol County, Massachusetts",0.04,0.96
25007,"Dukes County, Massachusetts",0.08,0.92
25009,"Essex County, Massachusetts",0.04,0.96
25011,"Franklin County, Massachusetts",0.04,0.96
25013,"Hampden County, Massachusetts",0.04,0.96
25015,"Hampshire County, Massachusetts",0.03,0.97
25017,"Middlesex County, Massachusetts",0.03,0.97
25019,"Nantucket County, Massachusetts",0.07,0.93
25021,"Norfolk County, Massachusetts",0.02,0.98
25023,"Plymouth County, Massachusetts",0.04,0.96
25025,"Suffolk County, Massachusetts",0.05,0.95
25027,"Worcester County, Massachusetts",0.03,0.97